[0.000000] (-) TimerEvent: {}
[0.000959] (-) JobUnselected: {'identifier': 'fishbot_application'}
[0.001023] (-) JobUnselected: {'identifier': 'fishbot_navigation2'}
[0.001067] (fishbot_description) JobQueued: {'identifier': 'fishbot_description', 'dependencies': OrderedDict()}
[0.445164] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/MalePatientBed/model.config\n'}
[0.445289] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit\n'}
[0.445408] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/model.sdf\n'}
[0.445574] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/thumbnails\n'}
[0.445840] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/thumbnails/1.png\n'}
[0.445962] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/thumbnails/3.png\n'}
[0.446338] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/thumbnails/4.png\n'}
[0.447089] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/thumbnails/5.png\n'}
[0.447211] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/thumbnails/2.png\n'}
[0.447368] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/meshes\n'}
[0.447551] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/meshes/PatientFSit_Col.mtl\n'}
[0.447892] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/meshes/PatientFPurple.png\n'}
[0.448003] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/meshes/PatientFSit.obj\n'}
[0.448115] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/meshes/PatientFSit.mtl\n'}
[0.448223] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/meshes/PatientFSit_Col.obj\n'}
[0.448327] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/PatientFSit/model.config\n'}
[0.448444] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine\n'}
[0.448589] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/model.sdf\n'}
[0.448698] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/thumbnails\n'}
[0.448991] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/thumbnails/1.png\n'}
[0.449097] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/thumbnails/3.png\n'}
[0.449250] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/thumbnails/4.png\n'}
[0.449482] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/thumbnails/5.png\n'}
[0.449659] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/thumbnails/2.png\n'}
[0.449905] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/meshes\n'}
[0.450013] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/meshes/AnesthesiaMachine_Col.mtl\n'}
[0.450274] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/meshes/AnesthesiaMachine_Col.obj\n'}
[0.450525] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/meshes/AnesthesiaMachine.png\n'}
[0.450693] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/meshes/AnesthesiaMachine.obj\n'}
[0.450927] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/meshes/AnesthesiaMachine.mtl\n'}
[0.451055] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/AnesthesiaMachine/model.config\n'}
[0.451167] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair\n'}
[0.451278] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/model.sdf\n'}
[0.451388] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/thumbnails\n'}
[0.451496] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/thumbnails/1.png\n'}
[0.451642] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/thumbnails/3.png\n'}
[0.451753] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/thumbnails/4.png\n'}
[0.451909] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/thumbnails/5.png\n'}
[0.452031] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/thumbnails/2.png\n'}
[0.452142] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/meshes\n'}
[0.452251] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/meshes/WhiteChipChair_Col.mtl\n'}
[0.452364] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/meshes/WhiteChipChairDiffuse.png\n'}
[0.452474] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/meshes/WhiteChipChair.mtl\n'}
[0.452771] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/meshes/WhiteChipChair_Col.obj\n'}
[0.452893] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/meshes/WhiteChipChair.obj\n'}
[0.453135] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/WhiteChipChair/model.config\n'}
[0.453243] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered\n'}
[0.453506] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered/model.sdf\n'}
[0.453799] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered/thumbnails\n'}
[0.453911] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered/thumbnails/1.png\n'}
[0.454038] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered/thumbnails/3.png\n'}
[0.454269] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered/thumbnails/4.png\n'}
[0.454379] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered/thumbnails/5.png\n'}
[0.454500] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered/thumbnails/2.png\n'}
[0.454690] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered/meshes\n'}
[0.454980] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered/meshes/StorageRackCovered.mtl\n'}
[0.455371] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered/meshes/StorageRackCovered.obj\n'}
[0.455480] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered/meshes/StorageRackCovered.png\n'}
[0.455641] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCovered/model.config\n'}
[0.455755] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs\n'}
[0.456006] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/model.sdf\n'}
[0.456188] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/thumbnails\n'}
[0.456321] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/thumbnails/1.png\n'}
[0.456605] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/thumbnails/3.png\n'}
[0.456764] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/thumbnails/4.png\n'}
[0.457047] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/thumbnails/5.png\n'}
[0.457193] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/thumbnails/2.png\n'}
[0.457321] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/meshes\n'}
[0.457455] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/meshes/Scrubs_Col.obj\n'}
[0.457630] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/meshes/Scrubs_Col.mtl\n'}
[0.457796] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/meshes/ScrubsFemaleDiffuse.png\n'}
[0.457922] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/meshes/scrubs.obj\n'}
[0.458199] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/meshes/scrubs.mtl\n'}
[0.458383] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Scrubs/model.config\n'}
[0.459236] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient\n'}
[0.459431] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/model.sdf\n'}
[0.459645] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/thumbnails\n'}
[0.459829] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/thumbnails/1.png\n'}
[0.459992] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/thumbnails/3.png\n'}
[0.460153] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/thumbnails/4.png\n'}
[0.460315] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/thumbnails/5.png\n'}
[0.460489] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/thumbnails/2.png\n'}
[0.460902] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/meshes\n'}
[0.461211] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/meshes/CGMVanguard_Diffuse.png\n'}
[0.461368] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/meshes/ElderMalePatient.mtl\n'}
[0.461514] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/meshes/ElderMale_color1.jpg\n'}
[0.461704] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/meshes/towel1.jpg\n'}
[0.462192] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/meshes/Carts_Wheels_Diffuse.png\n'}
[0.462644] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/meshes/ElderMalePatient.obj\n'}
[0.462787] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderMalePatient/model.config\n'}
[0.462925] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/docs\n'}
[0.463073] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/docs/images\n'}
[0.463213] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/docs/images/ramp.png\n'}
[0.463513] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/docs/images/hospital_sign.png\n'}
[0.463861] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/docs/images/elevator.png\n'}
[0.463997] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/docs/images/nurses_station.png\n'}
[0.464132] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/docs/images/PLACEHOLDER_FOR_SCREENSHOTS\n'}
[0.464269] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/docs/images/curtains.png\n'}
[0.464406] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/docs/images/hospital_world.jpg\n'}
[0.464579] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/docs/images/hospital_walls.png\n'}
[0.464719] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/docs/images/hospital_ceiling.png\n'}
[0.464854] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/docs/images/hospital_floor.png\n'}
[0.465148] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/worlds\n'}
[0.465286] (fishbot_description) StdoutLine: {'line': b'-- Installing: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/worlds/hospital.world\n'}
[0.465420] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/worlds/hospital_two_floors.world\n'}
[0.465594] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/worlds/hospital_three_floors.world\n'}
[0.465733] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/package.xml\n'}
[0.465877] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/NOTICE\n'}
[0.466196] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/CONTRIBUTING.md\n'}
[0.466330] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/photos\n'}
[0.466464] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/photos/PortraitD_02.jpg\n'}
[0.466657] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/photos/PortraitA_01.jpg\n'}
[0.466793] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/photos/PortraitE_02.jpg\n'}
[0.467096] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/photos/PortraitC_01.jpg\n'}
[0.467231] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/photos/PortraitD_01.jpg\n'}
[0.467365] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/photos/PortraitE_01.jpg\n'}
[0.467501] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/CODE_OF_CONDUCT.md\n'}
[0.467690] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/models\n'}
[0.468004] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/models/aws_robomaker_warehouse_ClutteringC_01\n'}
[0.468143] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/models/aws_robomaker_warehouse_ClutteringC_01/model.sdf\n'}
[0.468279] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/models/aws_robomaker_warehouse_ClutteringC_01/meshes\n'}
[0.468413] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/models/aws_robomaker_warehouse_ClutteringC_01/meshes/aws_robomaker_warehouse_ClutteringC_01_collision.DAE\n'}
[0.468611] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/models/aws_robomaker_warehouse_ClutteringC_01/meshes/aws_robomaker_warehouse_ClutteringC_01_visual.DAE\n'}
[0.468752] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/models/aws_robomaker_warehouse_ClutteringC_01/model.config\n'}
[0.469039] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/models/aws_robomaker_warehouse_ClutteringC_01/materials\n'}
[0.469175] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/models/aws_robomaker_warehouse_ClutteringC_01/materials/textures\n'}
[0.469309] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/models/aws_robomaker_warehouse_ClutteringC_01/materials/textures/aws_robomaker_warehouse_ClutteringC_02.png\n'}
